date,overlap_rate,spearman
2016-03-14,33.33,
2016-06-13,58.0,1.0
2016-09-12,66.0,0.9999
2016-12-12,54.0,0.9998
2017-03-13,68.0,0.9999
2017-06-12,68.0,0.9997
2017-09-11,78.0,0.999
2017-12-11,70.0,0.9996
2018-03-12,68.0,0.9998
2018-06-11,66.0,0.9981
2018-09-17,74.0,0.9957
2018-12-17,72.0,0.9936
2019-03-11,78.0,0.9998
2019-06-17,70.0,0.9613
2019-09-16,58.0,0.958
2019-12-16,58.0,0.9522
2020-03-16,58.0,0.937
2020-06-15,70.0,0.9498
2020-09-14,72.0,0.9463
2020-12-14,50.0,0.9269
2021-03-15,56.0,0.9348
2021-06-14,68.0,0.9772
2021-09-13,62.0,0.9415
2021-12-13,52.0,0.9581
2022-03-14,58.0,0.9488
2022-06-13,72.0,0.975
2022-09-12,70.0,0.969
2022-12-12,60.0,0.9641
2023-03-13,68.0,0.9604
2023-06-12,64.0,0.9819
2023-09-11,68.0,0.9627
2023-12-11,62.0,0.9577
2024-03-11,62.0,0.9654
2024-06-17,86.0,0.9994
2024-09-16,88.0,0.9999
2024-12-16,90.0,0.9998
2025-03-17,92.0,0.9998
2025-06-16,80.0,0.978
2025-09-15,76.0,0.9783
2025-12-15,70.0,0.9396
2026-03-16,66.0,0.9341
