
### 2016-06-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石化 | 10.0% | 5.37% | | 中国石化 | 1000.0% | 607.00% |
| 2 | 中国建筑 | 10.0% | 5.25% | | 中国建筑 | 1000.0% | 528.00% |
| 3 | 中国神华 | 6.5% | 6.03% | | 中国神华 | 661.0% | 691.00% |
| 4 | 中国国航 | 6.2% | 10.39% | | 中国国航 | 625.0% | 1214.00% |
| 5 | 美的集团 | 6.0% | 11.47% | | 美的集团 | 612.0% | 1739.00% |
| 6 | 中国铁建 | 5.9% | 4.01% | | 中国铁建 | 602.0% | 428.00% |
| 7 | 华能国际 | 4.6% | 5.80% | | 华能国际 | 467.0% | 661.00% |
| 8 | 长江电力 | 4.4% | 5.30% | | 长江电力 | 447.0% | 1022.00% |
| 9 | 华电国际 | 4.4% | 8.87% | | 华电国际 | 444.0% | 997.00% |
| 10 | 南方航空 | 3.6% | 6.95% | | 南方航空 | 361.0% | 779.00% |

### 2016-09-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石化 | 10.0% | 5.30% | | 中国石化 | 1000.0% | 595.00% |
| 2 | 格力电器 | 9.5% | 26.23% | | 格力电器 | 959.0% | 2658.00% |
| 3 | 中国建筑 | 9.4% | 5.05% | | 中国建筑 | 950.0% | 509.00% |
| 4 | 中国神华 | 5.9% | 5.68% | | 中国神华 | 590.0% | 643.00% |
| 5 | 中国国航 | 5.5% | 10.18% | | 中国国航 | 557.0% | 1192.00% |
| 6 | 美的集团 | 5.4% | 10.08% | | 美的集团 | 546.0% | 1576.00% |
| 7 | 中国铁建 | 5.3% | 4.06% | | 中国铁建 | 537.0% | 421.00% |
| 8 | 华能国际 | 4.2% | 5.90% | | 华能国际 | 417.0% | 660.00% |
| 9 | 长江电力 | 4.0% | 5.00% | | 长江电力 | 399.0% | 956.00% |
| 10 | 华电国际 | 3.9% | 8.93% | | 华电国际 | 396.0% | 973.00% |

### 2016-12-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石化 | 10.0% | 5.08% | | 中国石化 | 1000.0% | 569.00% |
| 2 | 格力电器 | 9.9% | 22.23% | | 格力电器 | 962.0% | 2362.00% |
| 3 | 中国建筑 | 9.8% | 4.45% | | 中国建筑 | 953.0% | 453.00% |
| 4 | 中国神华 | 6.1% | 5.18% | | 中国神华 | 592.0% | 591.00% |
| 5 | 中国国航 | 5.7% | 10.11% | | 中国国航 | 559.0% | 1196.00% |
| 6 | 美的集团 | 5.6% | 9.27% | | 美的集团 | 548.0% | 958.00% |
| 7 | 中国铁建 | 5.5% | 3.78% | | 中国铁建 | 539.0% | 397.00% |
| 8 | 长江电力 | 4.1% | 5.13% | | 华能国际 | 418.0% | 661.00% |
| 9 | 中国中铁 | 3.7% | 2.30% | | 长江电力 | 400.0% | 990.00% |
| 10 | 南方航空 | 3.3% | 6.88% | | 华电国际 | 397.0% | 975.00% |

### 2017-03-13

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 格力电器 | 10.0% | 20.90% | | 格力电器 | 1000.0% | 2109.00% |
| 2 | 中国石化 | 10.0% | 5.03% | | 中国石化 | 1000.0% | 565.00% |
| 3 | 中国建筑 | 10.0% | 4.68% | | 中国建筑 | 1000.0% | 469.00% |
| 4 | 中国神华 | 6.5% | 5.38% | | 中国神华 | 648.0% | 608.00% |
| 5 | 中国国航 | 6.1% | 9.91% | | 中国国航 | 612.0% | 1162.00% |
| 6 | 美的集团 | 6.0% | 8.39% | | 美的集团 | 600.0% | 854.00% |
| 7 | 中国铁建 | 5.9% | 3.78% | | 中国铁建 | 590.0% | 394.00% |
| 8 | 长江电力 | 4.4% | 5.22% | | 长江电力 | 438.0% | 994.00% |
| 9 | 南方航空 | 3.5% | 6.74% | | 南方航空 | 354.0% | 751.00% |
| 10 | 中国中冶 | 3.0% | 3.53% | | 中国中冶 | 305.0% | 377.00% |

### 2017-06-12

| # | 修正后 | w | FCF率 | | 旧版 | w | FCF率 |
|---|---|---|---|---|---|---|---|
| 1 | 中国石化 | 10.0% | 11.22% | | 中国石化 | 1000.0% | 1279.00% |
| 2 | 中国建筑 | 10.0% | 8.73% | | 中国建筑 | 1000.0% | 875.00% |
| 3 | 中国石油 | 10.0% | 3.24% | | 中国石油 | 1000.0% | 350.00% |
| 4 | 中国中铁 | 9.0% | 6.07% | | 中国中铁 | 907.0% | 646.00% |
| 5 | 长江电力 | 8.0% | 7.43% | | 长江电力 | 799.0% | 1086.00% |
