rb_date,next_rb,period_ret,nav
2016-06-13,2016-09-12,10.56762932862974,1.1056762932862974
2016-09-12,2016-12-12,9.158129722355016,1.2069355625347828
2016-12-12,2017-03-13,4.074128650500397,1.2561076700810905
2017-03-13,2017-06-12,13.032488456624705,1.4198097571871862
2017-06-12,2017-09-11,5.257820538928748,1.4944608062142883
2017-09-11,2017-12-11,8.948372817744932,1.6281907307694197
2017-12-11,2018-03-12,3.799505202710566,1.690053922295055
2018-03-12,2018-06-11,-3.81900712118326,1.62551064265077
2018-06-11,2018-09-17,-7.433618647310358,1.504676380404668
2018-09-17,2018-12-17,-2.955438516791211,1.4602065951051286
2018-12-17,2019-03-11,11.316751456490566,1.6254545462244594
2019-03-11,2019-06-17,-3.281389932841287,1.572117044381739
2019-06-17,2019-09-16,5.378737858747944,1.6566770990317288
2019-09-16,2019-12-16,-1.392919923495959,1.633600913651321
2019-12-16,2020-03-16,-9.926665236975229,1.4714388196449855
2020-03-16,2020-06-15,2.687822545176372,1.5109884839778804
2020-06-15,2020-09-14,17.966761498099892,1.7824641811579414
2020-09-14,2020-12-14,4.891535262985752,1.8696540451293724
2020-12-14,2021-03-15,7.806708110938641,2.0156124791169794
2021-03-15,2021-06-14,6.448725046479025,2.145593785897753
2021-06-14,2021-09-13,10.195813355080322,2.3643545236660897
2021-09-13,2021-12-13,-4.401762334975661,2.260281256778063
2021-12-13,2022-03-14,-8.374946358233014,2.070983913977705
2022-03-14,2022-06-13,6.010277827169637,2.195455800963757
2022-06-13,2022-09-12,1.576882514544506,2.2300755596037076
2022-09-12,2022-12-12,-1.42232307522409,2.1983566803245314
2022-12-12,2023-03-13,8.131647696711804,2.377119300685651
2023-03-13,2023-06-12,1.6459919537066985,2.416246493104946
2023-06-12,2023-09-11,2.8374219521513555,2.484805601518393
2023-09-11,2023-12-11,-5.919683702596325,2.3377129692841083
2023-12-11,2024-03-11,17.27528591240801,2.741559568539381
2024-03-11,2024-06-17,3.2348471747615313,2.830244830786681
2024-06-17,2024-09-16,-7.928847561036526,2.6058390325494893
2024-09-16,2024-12-16,16.69609306260573,3.040912342485657
2024-12-16,2025-03-17,-1.630664516685925,2.9913252639332204
2025-03-17,2025-06-16,1.2945681305824956,3.030050007482162
2025-06-16,2025-09-15,10.60885274321572,3.3515035508217417
2025-09-15,2025-12-15,2.32192739135371,3.429323029790464
2025-12-15,2026-03-16,9.907448228147938,3.769081433542908
2026-03-16,2026-06-04,-6.499723683362761,3.524101554961691
