rebalance_date,end_date,nav,period_return_pct,n_valid
2016-06-13,2016-09-12,1.1018,10.18,50
2016-09-12,2016-12-12,1.2361,12.19,50
2016-12-12,2017-03-13,1.2821,3.72,50
2017-03-13,2017-06-12,1.4679,14.49,50
2017-06-12,2017-09-11,1.5626,6.45,50
2017-09-11,2017-12-11,1.6384,4.85,50
2017-12-11,2018-03-12,1.6344,-0.24,50
2018-03-12,2018-06-11,1.548,-5.28,50
2018-06-11,2018-09-17,1.4138,-8.67,50
2018-09-17,2018-12-17,1.426,0.86,50
2018-12-17,2019-03-11,1.6174,13.43,50
2019-03-11,2019-06-17,1.5723,-2.79,50
2019-06-17,2019-09-16,1.6577,5.43,50
2019-09-16,2019-12-16,1.6645,0.41,50
2019-12-16,2020-03-16,1.5404,-7.46,50
2020-03-16,2020-06-15,1.5482,0.51,50
2020-06-15,2020-09-14,1.7633,13.89,50
2020-09-14,2020-12-14,1.7517,-0.66,50
2020-12-14,2021-03-15,1.9316,10.27,50
2021-03-15,2021-06-14,1.938,0.33,50
2021-06-14,2021-09-13,2.3555,21.55,50
2021-09-13,2021-12-13,2.1367,-9.29,50
2021-12-13,2022-03-14,2.0754,-2.87,50
2022-03-14,2022-06-13,2.1027,1.32,50
2022-06-13,2022-09-12,2.1752,3.45,50
2022-09-12,2022-12-12,2.1991,1.1,50
2022-12-12,2023-03-13,2.4017,9.21,50
2023-03-13,2023-06-12,2.2764,-5.22,50
2023-06-12,2023-09-11,2.4098,5.86,50
2023-09-11,2023-12-11,2.3892,-0.86,50
2023-12-11,2024-03-11,2.7849,16.56,50
2024-03-11,2024-06-17,2.864,2.84,50
2024-06-17,2024-09-16,2.6427,-7.73,50
2024-09-16,2024-12-16,3.1177,17.97,50
2024-12-16,2025-03-17,3.0062,-3.57,50
2025-03-17,2025-06-16,3.0306,0.81,50
2025-06-16,2025-09-15,3.3356,10.07,50
2025-09-15,2025-12-15,3.4645,3.86,50
2025-12-15,2026-03-16,3.9782,14.83,50
2026-03-16,2026-06-04,3.7155,-6.6,50
