rank,ts_code,name,fcf_yield,fcf_1e8,ev_1e8,profit_quality,weight,industry,sector
1,600941.SH,中国移动,19.42%,1130.0,5817.5,0.0592,10.00%,电信运营,电信业务
2,601857.SH,中国石油,7.67%,1598.3,20846.5,0.0713,10.00%,石油开采,能源
3,601088.SH,中国神华,11.32%,664.0,5866.9,0.0151,9.06%,煤炭开采,能源
4,000333.SZ,美的集团,9.79%,661.7,6759.6,0.0505,9.03%,家用电器,可选消费
5,600900.SH,长江电力,6.61%,655.7,9915.7,0.0607,8.95%,水力发电,公用事业
6,000858.SZ,五粮液,11.13%,470.2,4225.3,0.0251,6.42%,白酒,主要消费
7,601919.SH,中远海控,16.33%,331.0,2026.4,-0.0018,4.52%,水运,工业
8,601225.SH,陕西煤业,13.99%,309.0,2208.3,0.0131,4.22%,煤炭开采,能源
9,000651.SZ,格力电器,7.05%,255.7,3627.9,-0.0162,3.49%,家用电器,可选消费
10,601600.SH,中国铝业,11.58%,212.8,1836.4,0.0409,2.90%,铝,原材料
11,601633.SH,长城汽车,8.36%,199.2,2384.4,0.0984,2.72%,汽车整车,可选消费
12,002714.SZ,牧原股份,8.12%,190.4,2345.2,0.1180,2.60%,农业综合,主要消费
13,601898.SH,中煤能源,10.79%,188.1,1743.8,0.0295,2.57%,煤炭开采,能源
14,600887.SH,伊利股份,7.19%,153.7,2139.2,0.0479,2.10%,乳制品,主要消费
15,000876.SZ,新希望,11.14%,133.3,1197.4,0.0904,1.82%,饲料,其他
16,600482.SH,中国动力,14.34%,104.1,726.2,0.0901,1.42%,船舶,其他
17,600096.SH,云天化,14.23%,83.5,586.9,0.0439,1.14%,农药化肥,原材料
18,002311.SZ,海大集团,7.64%,81.6,1068.4,0.1187,1.11%,饲料,其他
19,600585.SH,海螺水泥,10.13%,76.7,757.1,0.0484,1.05%,水泥,原材料
20,000792.SZ,盐湖股份,8.67%,72.7,838.8,0.0322,0.99%,农药化肥,原材料
21,002027.SZ,分众传媒,6.85%,66.7,973.6,0.0438,0.91%,广告包装,可选消费
22,000807.SZ,云铝股份,9.43%,62.6,664.3,-0.0079,0.85%,铝,原材料
23,600157.SH,永泰能源,7.08%,60.5,854.4,0.0298,0.83%,火力发电,公用事业
24,601168.SH,西部矿业,8.58%,57.3,668.4,0.0448,0.78%,铜,原材料
25,603885.SH,吉祥航空,8.31%,54.2,651.7,0.1033,0.74%,空运,其他
26,002001.SZ,新和成,6.64%,48.6,731.8,0.0371,0.66%,化学制药,医药卫生
27,002271.SZ,东方雨虹,10.88%,46.4,426.7,0.0983,0.63%,其他建材,原材料
28,603939.SH,益丰药房,10.08%,42.9,425.4,0.1070,0.59%,医药商业,医药卫生
29,000786.SZ,北新建材,7.38%,43.0,582.2,0.0298,0.59%,其他建材,原材料
30,002128.SZ,电投能源,7.06%,37.6,533.3,0.0207,0.51%,煤炭开采,能源
31,600219.SH,南山铝业,10.62%,35.9,337.7,-0.0059,0.49%,铝,原材料
32,601156.SH,东航物流,25.98%,35.5,136.6,-0.0005,0.48%,仓储物流,工业
33,600863.SH,华能蒙电,9.15%,34.9,381.7,0.0545,0.48%,火力发电,公用事业
34,601958.SH,金钼股份,10.46%,34.5,330.2,-0.0125,0.47%,小金属,其他
35,600380.SH,健康元,15.66%,29.7,189.6,0.0122,0.41%,化学制药,医药卫生
36,002120.SZ,韵达股份,8.98%,30.4,338.7,0.0619,0.41%,仓储物流,工业
37,601880.SH,辽港股份,7.63%,30.2,395.5,0.0316,0.41%,港口,工业
38,000591.SZ,太阳能,8.10%,29.3,361.2,0.0740,0.40%,新型电力,公用事业
39,600258.SH,首旅酒店,10.12%,27.5,272.1,0.0870,0.38%,酒店餐饮,其他
40,600873.SH,梅花生物,8.27%,26.8,324.0,0.0394,0.37%,食品,主要消费
41,000513.SZ,丽珠集团,13.79%,26.7,193.9,0.0241,0.36%,化学制药,医药卫生
42,000683.SZ,博源化工,8.55%,26.4,308.7,-0.0122,0.36%,化工原料,原材料
43,300628.SZ,亿联网络,8.34%,24.5,293.7,-0.0117,0.33%,通信设备,电信业务
44,600535.SH,天士力,8.88%,20.3,229.0,0.0983,0.28%,中成药,医药卫生
45,603883.SH,老百姓,7.52%,18.5,246.6,0.0600,0.25%,医药商业,医药卫生
46,603688.SH,石英股份,11.58%,17.5,151.5,0.0923,0.24%,矿物制品,其他
47,002249.SZ,大洋电机,8.27%,14.6,176.9,0.0717,0.20%,电气设备,工业
48,300244.SZ,迪安诊断,8.51%,12.2,143.4,0.0602,0.17%,医疗保健,医药卫生
49,300026.SZ,红日药业,10.85%,11.8,109.0,0.0879,0.16%,中成药,医药卫生
50,603444.SH,吉比特,7.59%,11.7,153.6,-0.0101,0.16%,互联网,信息技术
