rb_date,next_rb,ret,nav,n_valid
2016-06-13,2016-09-12,0.09647,1.09647,50
2016-09-12,2016-12-12,0.059423,1.161625,50
2016-12-12,2017-03-13,0.064964,1.237088,50
2017-03-13,2017-06-12,0.174816,1.453351,50
2017-06-12,2017-09-11,0.035236,1.504561,50
2017-09-11,2017-12-11,0.110208,1.670376,50
2017-12-11,2018-03-12,0.038019,1.733883,50
2018-03-12,2018-06-11,-0.046747,1.65283,50
2018-06-11,2018-09-17,-0.069894,1.537307,50
2018-09-17,2018-12-17,0.011461,1.554927,50
2018-12-17,2019-03-11,0.184512,1.841829,50
2019-03-11,2019-06-17,-0.059253,1.732696,50
2019-06-17,2019-09-16,0.040587,1.803021,50
2019-09-16,2019-12-16,-0.010686,1.783754,50
2019-12-16,2020-03-16,-0.06995,1.658981,50
2020-03-16,2020-06-15,-0.020088,1.625655,50
2020-06-15,2020-09-14,0.154999,1.877629,50
2020-09-14,2020-12-14,0.015713,1.907132,50
2020-12-14,2021-03-15,0.094484,2.087326,50
2021-03-15,2021-06-14,0.010321,2.108869,50
2021-06-14,2021-09-13,0.211241,2.554348,50
2021-09-13,2021-12-13,-0.097873,2.304345,50
2021-12-13,2022-03-14,-0.033442,2.227283,50
2022-03-14,2022-06-13,0.079945,2.405343,50
2022-06-13,2022-09-12,0.00479,2.416864,50
2022-09-12,2022-12-12,-0.018778,2.37148,50
2022-12-12,2023-03-13,0.049706,2.489356,50
2023-03-13,2023-06-12,-0.051892,2.360179,50
2023-06-12,2023-09-11,0.061319,2.504902,50
2023-09-11,2023-12-11,0.012414,2.535997,17
2023-12-11,2024-03-11,0.04868,2.65945,29
2024-03-11,2024-06-17,0.015012,2.699375,50
2024-06-17,2024-09-16,-0.130213,2.347881,50
2024-09-16,2024-12-16,0.213704,2.849632,50
2024-12-16,2025-03-17,-0.045423,2.720194,50
2025-03-17,2025-06-16,-0.005806,2.704402,31
2025-06-16,2025-09-15,0.0,2.704402,0
2025-09-15,2025-12-15,0.0,2.704402,0
2025-12-15,2026-03-16,0.089422,2.946235,41
2026-03-16,2026-06-04,-0.080682,2.708527,50
