rb_date,next_rb,ret,nav
2012-03-12,2012-06-11,0.0,1.0
2012-06-11,2012-09-10,0.0,1.0
2012-09-10,2012-12-10,0.0,1.0
2012-12-10,2013-03-11,0.0,1.0
2013-03-11,2013-06-17,0.0,1.0
2013-06-17,2013-09-16,0.0,1.0
2013-09-16,2013-12-16,0.0,1.0
2013-12-16,2014-03-17,0.0,1.0
2014-03-17,2014-06-16,0.0,1.0
2014-06-16,2014-09-15,0.0,1.0
2014-09-15,2014-12-15,0.0,1.0
2014-12-15,2015-03-16,0.0,1.0
2015-03-16,2015-06-15,0.0,1.0
2015-06-15,2015-09-14,0.0,1.0
2015-09-14,2015-12-14,0.0,1.0
2015-12-14,2016-03-14,0.0,1.0
2016-03-14,2016-06-13,0.0,1.0
2016-06-13,2016-09-12,0.0,1.0
2016-09-12,2016-12-12,0.0,1.0
2016-12-12,2017-03-13,0.0,1.0
2017-03-13,2017-06-12,0.0,1.0
2017-06-12,2017-09-11,0.0,1.0
2017-09-11,2017-12-11,0.0,1.0
2017-12-11,2018-03-12,0.0,1.0
2018-03-12,2018-06-11,0.0,1.0
2018-06-11,2018-09-17,0.0,1.0
2018-09-17,2018-12-17,0.0,1.0
2018-12-17,2019-03-11,0.0,1.0
2019-03-11,2019-06-17,0.0,1.0
2019-06-17,2019-09-16,0.0,1.0
2019-09-16,2019-12-16,0.0,1.0
2019-12-16,2020-03-16,0.0,1.0
2020-03-16,2020-06-15,0.0,1.0
2020-06-15,2020-09-14,0.0,1.0
2020-09-14,2020-12-14,0.0,1.0
2020-12-14,2021-03-15,0.0,1.0
2021-03-15,2021-06-14,0.0,1.0
2021-06-14,2021-09-13,0.0,1.0
2021-09-13,2021-12-13,0.0,1.0
2021-12-13,2022-03-14,0.0,1.0
2022-03-14,2022-06-13,0.0,1.0
2022-06-13,2022-09-12,0.0,1.0
2022-09-12,2022-12-12,0.0,1.0
2022-12-12,2023-03-13,0.0,1.0
2023-03-13,2023-06-12,0.0,1.0
2023-06-12,2023-09-11,0.0,1.0
2023-09-11,2023-12-11,0.0,1.0
2023-12-11,2024-03-11,0.0,1.0
2024-03-11,2024-06-17,0.0,1.0
2024-06-17,2024-09-16,0.0,1.0
2024-09-16,2024-12-16,0.0,1.0
2024-12-16,2025-03-17,0.0,1.0
2025-03-17,2025-06-16,0.0,1.0
2025-06-16,2025-09-15,0.0,1.0
2025-09-15,2025-12-15,0.0,1.0
2025-12-15,2026-03-16,0.0,1.0
2026-03-16,2026-06-15,0.0,1.0
2026-06-15,2026-06-15,0.0,1.0
