rb_date,next_rb,period_ret,nav
2016-06-13,2016-09-12,9.707658832342482,1.0970765883234248
2016-09-12,2016-12-12,5.532035207702477,1.1577672514449378
2016-12-12,2017-03-13,6.500180535155028,1.233024212965761
2017-03-13,2017-06-12,16.63434049931168,1.4381296589894434
2017-06-12,2017-09-11,5.279383679799776,1.5140540415004922
2017-09-11,2017-12-11,8.957887910704976,1.6496813054456048
2017-12-11,2018-03-12,4.048567057758641,1.7164697593358782
2018-03-12,2018-06-11,-7.721199847522684,1.5839376988952634
2018-06-11,2018-09-17,-6.518749386685458,1.4806847698630485
2018-09-17,2018-12-17,-2.7001417968048256,1.440704181513053
2018-12-17,2019-03-11,12.118041267962303,1.6152893087780633
2019-03-11,2019-06-17,-2.416231898018746,1.576260173254081
2019-06-17,2019-09-16,2.685920169808418,1.6185972631761696
2019-09-16,2019-12-16,-1.8956873802108403,1.5879137191217008
2019-12-16,2020-03-16,-7.6066437801506,1.4671267789719717
2020-03-16,2020-06-15,0.7336130266901648,1.4778898121405701
2020-06-15,2020-09-14,18.516082424647774,1.7515371079019901
2020-09-14,2020-12-14,4.283526287770574,1.8265646603590284
2020-12-14,2021-03-15,13.905876932485937,2.0805644941208343
2021-03-15,2021-06-14,15.168876973594966,2.3961627625903223
2021-06-14,2021-09-13,20.4577322298682,2.886363324352863
2021-09-13,2021-12-13,-10.839970319534457,2.5734823966790845
2021-12-13,2022-03-14,-1.1194739701796717,2.5446729311211063
2022-03-14,2022-06-13,7.321948831899139,2.7309925810769817
2022-06-13,2022-09-12,0.8206758308915008,2.7534051771333203
2022-09-12,2022-12-12,-2.878721742435669,2.674142303641834
2022-12-12,2023-03-13,5.387552709866878,2.8182131297873863
2023-03-13,2023-06-12,0.06881646076285473,2.8201525243200596
2023-06-12,2023-09-11,7.234194357848561,3.024167839117145
2023-09-11,2023-12-11,0.3163521230618345,3.0337348582811448
2023-12-11,2024-03-11,18.911079764346443,3.6074468771694748
2024-03-11,2024-06-17,2.667588149148561,3.7036787025516773
2024-06-17,2024-09-16,-12.837596102423761,3.228215389786604
2024-09-16,2024-12-16,20.873480254310454,3.902056291740322
2024-12-16,2025-03-17,-4.952755556077388,3.708796981949886
2025-03-17,2025-06-16,1.9383214316585344,3.780685388707725
2025-06-16,2025-09-15,15.770134860211316,4.376904573147239
2025-09-15,2025-12-15,2.4264034091762916,4.483105934926476
2025-12-15,2026-03-16,10.391724557893603,4.948977955322617
2026-03-16,2026-06-04,-14.009921564326348,4.255630025546116
